Fecha         Licencia   Placa       Infraccion         Monto   Descuento   Puntos   Meses Susp
2020/02/06    32244565   W9L-468     Grave              316.00      0.25       100         0
2020/02/06    88167677   Y4Y-028     Muy Grave          474.00      0.00       500         0
2020/02/07    53853385   R6P-267     Grave              316.00      0.25       200         0
2020/02/08    52002275   C0S-417     Leve               158.00      0.50         0         0
2020/02/08    79641328   B4R-105     Muy Grave          474.00      0.00       500         0
2020/02/10    34976629   I0Y-720     Grave              316.00      0.25       100         0
2020/02/10    37080813   O9W-355     Grave              316.00      0.25       100         0
2020/02/12    16925690   F3F-478     Grave              316.00      0.25       100         0
2020/02/12    88167677   O0C-616     Muy Grave            0.00      0.00      2000        12
2020/02/12    80457845   W0C-131     Grave              316.00      0.25       100         0
2020/02/14    16925690   R7N-113     Grave              316.00      0.25       100         0
2020/02/14    34248357   H4R-733     Grave              316.00      0.25       100         0
2020/02/15    87495937   M5G-669     Grave              316.00      0.25       100         0
2020/02/15    73972114   A2F-518     Grave              316.00      0.25       100         0
2020/02/17    71578206   G7Z-721     Grave              316.00      0.25       100         0
2020/02/17    31205866   U6A-456     Grave              316.00      0.25       100         0
2020/02/17    79641328   B4R-105     Leve               158.00      0.50         0         0
2020/02/18    66849703   B4N-777     Grave              316.00      0.25       100         0
2020/02/18    74325123   V9F-655     Grave              316.00      0.25       100         0
2020/02/19    30441350   T7F-869     Grave              316.00      0.25       100         0
2020/02/19    58992942   H8M-598     Muy Grave          474.00      0.00       500         0
2020/02/20    77367073   N7K-403     Muy Grave          474.00      0.00       500         0
2020/02/20    64532449   X3Z-285     Grave              316.00      0.25       100         0
2020/02/21    89314225   C3A-423     Muy Grave         5925.00      0.00      2000         6
2020/02/21    34248357   U0T-459     Grave              316.00      0.25       100         0
2020/02/22    48450395   G1P-591     Grave              316.00      0.25       100         0
2020/02/22    96693273   C0G-556     Grave              316.00      0.25       100         0
2020/02/22    27864822   T9U-338     Grave              316.00      0.25       100         0
2020/02/22    35671623   V4E-749     Muy Grave          474.00      0.00       500         0
2020/02/22    54665716   D2V-055     Grave              316.00      0.25       100         0
2020/02/22    73972114   J2M-606     Muy Grave          474.00      0.00       500         0
2020/02/23    45043076   R1T-735     Muy Grave          474.00      0.00       500         0
2020/02/23    48528209   T9L-709     Grave              316.00      0.25       100         0
2020/02/23    77763722   D1M-667     Grave              316.00      0.25       100         0
2020/02/24    31205866   U6A-456     Grave              316.00      0.25       100         0
2020/02/24    60784914   P4Y-758     Muy Grave          948.00      0.00       600         1
2020/02/24    97849227   I0K-077     Muy Grave          474.00      0.00       500         0
2020/02/25    66849703   B4N-777     Grave              316.00      0.25       200         0
2020/02/25    50200823   R0P-255     Muy Grave          948.00      0.00       600         1
2020/02/25    85501710   Z4K-431     Grave              316.00      0.25       100         0
2020/02/25    19963454   X9O-440     Grave              316.00      0.25       200         0
2020/02/26    70414420   U5T-348     Grave              316.00      0.25       100         0
2020/02/26    86429854   M5U-987     Grave              316.00      0.25       100         0
2020/02/26    24859596   A8P-118     Grave              316.00      0.25       200         0
2020/02/27    27185429   U3F-754     Muy Grave            0.00      0.00      2000        12
2020/02/27    12858682   T5L-371     Muy Grave          474.00      0.00       500         0
2020/02/28    58992942   Q6B-243     Grave              316.00      0.25       100         0
2020/02/28    67185679   S7F-983     Muy Grave          474.00      0.00       500         0
2020/02/29    34248357   S5E-231     Grave              316.00      0.25       100         0
2020/03/01    74325123   V9F-655     Grave              316.00      0.25       200         0
2020/03/01    49428502   C0A-114     Grave              316.00      0.25       100         0
2020/03/02    47528229   G8O-154     Muy Grave          474.00      0.00       500         0
2020/03/02    28820944   H2K-127     Grave              316.00      0.25       100         0
2020/03/02    42956681   A6D-661     Muy Grave          474.00      0.00       500         0
2020/03/03    82870470   K0H-387     Grave              316.00      0.25       100         0
2020/03/03    48878256   W6Z-142     Leve               158.00      0.50         0         0
2020/03/04    60784914   C6Q-548     Grave              316.00      0.25       100         0
2020/03/04    63736112   K0D-676     Grave              316.00      0.25       200         0
2020/03/04    79766395   H7P-047     Leve               158.00      0.50         0         0
2020/03/05    64178096   B7V-643     Leve               158.00      0.50         0         0
2020/03/05    29989682   B1J-773     Muy Grave          474.00      0.00       500         0
2020/03/06    80457845   Z5G-762     Grave              316.00      0.25       200         0
2020/03/06    79672079   R7U-941     Grave              316.00      0.25       100         0
2020/03/07    15559308   X6O-905     Grave              316.00      0.25       100         0
2020/03/08    27864822   S3D-133     Grave              316.00      0.25       100         0
2020/03/08    30441350   X0F-315     Muy Grave          474.00      0.00       500         0
2020/03/09    15559308   X6O-905     Muy Grave          948.00      0.00       600         1
2020/03/10    67185679   S7F-983     Grave              316.00      0.25       100         0
2020/03/11    12858682   T5L-371     Muy Grave          948.00      0.00       600         1
2020/03/11    48528209   T9L-709     Grave              316.00      0.25       100         0
2020/03/12    86718074   Q6I-941     Grave              316.00      0.25       100         0
2020/03/12    73357516   G0B-604     Grave              316.00      0.25       100         0
2020/03/12    29989682   B1J-773     Muy Grave          474.00      0.00       500         0
2020/03/12    48450395   H6H-085     Muy Grave          474.00      0.00       500         0
2020/03/13    82031355   Z5D-724     Grave              316.00      0.25       100         0
2020/03/13    73567806   A7Y-833     Leve               158.00      0.50         0         0
2020/03/14    54141214   J7Y-327     Grave              316.00      0.25       100         0
2020/03/14    49927087   X3E-271     Leve               158.00      0.50         0         0
2020/03/14    73357516   G0B-604     Grave              316.00      0.25       100         0
2020/03/15    49927087   X3E-271     Leve               158.00      0.50         0         0
2020/03/15    67185679   I2P-193     Grave              316.00      0.25       100         0
2020/03/17    30441350   M9Z-497     Grave              316.00      0.25       100         0
2020/03/17    44188994   M0X-657     Grave              316.00      0.25       200         0
2020/03/17    87495937   L2H-207     Grave              316.00      0.25       100         0
2020/03/17    77763722   W2L-827     Grave              316.00      0.25       100         0
2020/03/17    52003695   H8S-849     Grave              316.00      0.25       100         0
2020/03/17    29833157   I5K-310     Muy Grave          474.00      0.00       500         0
2020/03/18    16477908   X9D-758     Grave              316.00      0.25       100         0
2020/03/19    13628871   F3E-797     Muy Grave         1975.00      0.00       800         3
2020/03/19    80310768   N5J-515     Muy Grave          474.00      0.00       500         0
2020/03/20    50200823   R0P-255     Grave              316.00      0.25       100         0
2020/03/20    80310768   O2F-523     Grave              316.00      0.25       100         0
2020/03/21    13628871   F3E-797     Grave              316.00      0.25       100         0
2020/03/23    52002275   J8N-930     Muy Grave          711.00      0.00       600         1
2020/03/24    73972114   D8H-157     Grave              316.00      0.25       200         0
2020/03/25    27864822   R5C-239     Leve               158.00      0.50         0         0
2020/03/25    12270502   Y5F-449     Muy Grave          474.00      0.00       500         0
2020/03/25    77763722   A1Q-612     Grave              316.00      0.25       100         0
2020/03/26    82031355   H6X-124     Grave              316.00      0.25       100         0
2020/03/26    64178096   G3B-505     Muy Grave          474.00      0.00       500         0
2020/03/27    29989682   B1J-773     Grave              316.00      0.25       100         0
2020/03/28    47844324   F1H-328     Leve               158.00      0.50         0         0
2020/03/28    54141214   G2I-709     Muy Grave          474.00      0.00       500         0
2020/03/29    87495937   L2H-207     Grave              316.00      0.25       100         0
2020/03/29    38862473   S6Y-726     Muy Grave          474.00      0.00       500         0
2020/03/29    99950484   L8A-167     Muy Grave          474.00      0.00       500         0
2020/03/30    71832810   W1C-444     Grave              316.00      0.25       100         0
2020/03/30    30046639   L8F-459     Grave              316.00      0.25       100         0
2020/03/31    38862473   S6Y-726     Grave              316.00      0.25       100         0
2020/04/01    81528434   D6F-465     Grave              316.00      0.25       100         0
2020/04/02    42956681   E0L-862     Grave              316.00      0.25       100         0
2020/04/02    79766395   N6D-256     Muy Grave         1975.00      0.00       800         3
2020/04/03    35671623   V4E-749     Grave              316.00      0.25       100         0
2020/04/03    34976629   I0Y-720     Grave              316.00      0.25       100         0
2020/04/04    29833157   I5K-310     Muy Grave          948.00      0.00       600         1
2020/04/04    79766395   N6D-256     Leve               158.00      0.50         0         0
2020/04/05    31205866   U6A-456     Grave              316.00      0.25       100         0
2020/04/05    85501710   N2C-590     Muy Grave          711.00      0.00       600         1
2020/04/06    29833157   I5K-310     Grave              316.00      0.25       100         0
2020/04/06    26522329   W7R-114     Muy Grave            0.00      0.00      2000        12
2020/04/06    13219606   N1O-921     Grave              316.00      0.25       100         0
2020/04/07    68310808   K2N-341     Grave              316.00      0.25       100         0
2020/04/08    82031355   J0J-790     Grave              316.00      0.25       100         0
2020/04/08    79641328   L0L-653     Leve               158.00      0.50         0         0
2020/04/09    88167677   O0C-616     Grave              316.00      0.25       100         0
2020/04/09    49428502   C0A-114     Grave              316.00      0.25       100         0
2020/04/10    86429854   K1F-766     Muy Grave          948.00      0.00       600         1
2020/04/11    86429854   M5U-987     Grave              316.00      0.25       100         0
2020/04/11    16925690   R7N-113     Grave              316.00      0.25       100         0
2020/04/13    30046639   S3F-021     Grave              316.00      0.25       100         0
2020/04/13    12270502   P7T-999     Grave              316.00      0.25       100         0
2020/04/13    86429854   K1F-766     Grave              316.00      0.25       200         0
2020/04/14    50200823   Q6C-943     Muy Grave          474.00      0.00       500         0
2020/04/14    12270502   O1C-880     Grave              316.00      0.25       100         0
2020/04/14    73567806   Q9D-870     Grave              316.00      0.25       100         0
2020/04/15    86429854   K1F-766     Muy Grave            0.00      0.00      2000        12
2020/04/16    13219606   T3B-722     Muy Grave          474.00      0.00       500         0
2020/04/16    30441350   M9Z-497     Grave              316.00      0.25       100         0
2020/04/17    81485316   J5T-691     Muy Grave          474.00      0.00       500         0
2020/04/17    75945248   K6X-977     Grave              316.00      0.25       200         0
2020/04/17    79672079   Y3Q-331     Grave              316.00      0.25       100         0
2020/04/18    80457845   Z5G-762     Muy Grave          474.00      0.00       500         0
2020/04/18    54141214   G2I-709     Muy Grave            0.00      0.00      2000        12
2020/04/19    29989682   W3T-571     Grave              316.00      0.25       100         0
2020/04/19    68303148   H1W-140     Grave              316.00      0.25       200         0
2020/04/21    63736112   K0D-676     Muy Grave         3950.00      0.00       100         6
2020/04/21    66849703   B4N-777     Grave              316.00      0.25       100         0
2020/04/21    67185679   S7F-983     Grave              316.00      0.25       100         0
2020/04/22    48450395   G1P-591     Grave              316.00      0.25       100         0
2020/04/22    15029228   J0Q-121     Muy Grave          474.00      0.00       500         0
2020/04/22    12858682   T5L-371     Muy Grave          474.00      0.00       500         0
2020/04/22    49927087   M8Q-758     Muy Grave          474.00      0.00       500         0
2020/04/24    45043076   R1T-735     Muy Grave          474.00      0.00       500         0
2020/04/26    34248357   U0T-459     Grave              316.00      0.25       100         0
2020/04/26    86429854   K1F-766     Leve               158.00      0.50         0         0
2020/04/30    67185679   F1F-571     Grave              316.00      0.25       100         0
2020/04/30    96693273   F3R-138     Grave              316.00      0.25       100         0
2020/05/01    54447051   G3Y-654     Grave              316.00      0.25       100         0
2020/05/01    34248357   R7N-062     Muy Grave          474.00      0.00       500         0
2020/05/01    86429854   K1F-766     Muy Grave          474.00      0.00       500         0
2020/05/03    21621497   D6W-048     Muy Grave          711.00      0.00       600         1
2020/05/05    24859596   L6D-758     Muy Grave          474.00      0.00       500         0
2020/05/05    37080813   P7E-145     Grave              316.00      0.25       100         0
2020/05/05    21621497   R5I-860     Grave              316.00      0.25       100         0
2020/05/06    99950484   Y6I-680     Grave              316.00      0.25       100         0
2020/05/07    30441350   M9Z-497     Grave              316.00      0.25       100         0
2020/05/07    30441350   M9Z-497     Grave              316.00      0.25       100         0
2020/05/08    34976629   J8B-303     Grave              316.00      0.25       100         0
2020/05/08    79766395   T3R-184     Grave              316.00      0.25       100         0
2020/05/08    77367073   H9A-097     Muy Grave          474.00      0.00       500         0
2020/05/08    34248357   S5E-231     Muy Grave          474.00      0.00       500         0
2020/05/10    73357516   J2K-636     Grave              316.00      0.25       200         0
2020/05/11    49927087   M8Q-758     Grave              316.00      0.25       100         0
2020/05/11    30046639   S3F-021     Grave              316.00      0.25       100         0
2020/05/11    87282766   S1D-093     Leve               158.00      0.50         0         0
2020/05/12    48878256   F2F-895     Grave              316.00      0.25       100         0
2020/05/13    37080813   O9W-355     Leve               158.00      0.50         0         0
2020/05/13    48450395   Q5S-871     Grave              316.00      0.25       100         0
2020/05/13    26522329   U5W-825     Grave              316.00      0.25       100         0
2020/05/14    13628871   F3E-797     Grave              316.00      0.25       200         0
2020/05/14    77367073   C2S-070     Grave              316.00      0.25       100         0
2020/05/14    60784914   C6G-842     Muy Grave          948.00      0.00       600         1
2020/05/14    29833157   S2N-896     Grave              316.00      0.25       100         0
2020/05/15    79766395   N6D-256     Muy Grave          474.00      0.00       500         0
2020/05/15    28820944   H2K-127     Muy Grave          474.00      0.00       500         0
2020/05/15    60335381   E6T-667     Grave              316.00      0.25       200         0
2020/05/16    67185679   F1F-571     Grave              316.00      0.25       200         0
2020/05/16    77367073   W4W-684     Grave              316.00      0.25       100         0
2020/05/16    35683701   D5W-953     Grave              316.00      0.25       200         0
2020/05/17    64532449   V4I-691     Muy Grave          474.00      0.00       500         0
2020/05/18    88167677   Y4Y-028     Muy Grave          474.00      0.00       500         0
2020/05/18    47528229   T8Y-354     Grave              316.00      0.25       100         0
2020/05/19    87495937   Z8C-558     Grave              316.00      0.25       100         0
2020/05/19    73818744   U5N-536     Muy Grave          474.00      0.00       500         0
2020/05/19    39544560   Y0K-784     Grave              316.00      0.25       200         0
2020/05/20    29833157   I9F-484     Grave              316.00      0.25       100         0
2020/05/21    88854166   L3N-150     Muy Grave          474.00      0.00       500         0
2020/05/21    35671623   V4E-749     Muy Grave         1975.00      0.00       800         3
2020/05/22    27864822   T9U-338     Leve               158.00      0.50         0         0
2020/05/22    53853385   O5L-856     Grave              316.00      0.25       100         0
2020/05/23    54447051   G3Y-654     Grave              316.00      0.25       100         0
2020/05/24    64178096   I0X-469     Grave              316.00      0.25       100         0
2020/05/24    32244565   J1E-736     Grave              316.00      0.25       200         0
2020/05/25    99950484   Y9W-731     Muy Grave            0.00      0.00      2000        12
2020/05/25    88167677   V7U-622     Grave              316.00      0.25       100         0
2020/05/25    34248357   H4R-733     Muy Grave          474.00      0.00       500         0
2020/05/26    48528209   T9L-709     Muy Grave            0.00      0.00      2000        12
2020/05/26    31107104   O3T-110     Grave              316.00      0.25       100         0
2020/05/26    96693273   B9X-420     Grave              316.00      0.25       100         0
2020/05/26    99950484   Y6I-680     Grave              316.00      0.25       100         0
2020/05/27    87282766   S1D-093     Muy Grave          474.00      0.00       500         0
2020/05/27    60784914   A8J-929     Leve               158.00      0.50         0         0
2020/05/30    77367073   N7K-403     Grave              316.00      0.25       100         0
2020/05/30    48878256   W6Z-142     Muy Grave          474.00      0.00       500         0
2020/05/31    54447051   D5W-773     Muy Grave         5925.00      0.00      2000         6
2020/05/31    60784914   C6Q-548     Grave              316.00      0.25       100         0
2020/06/01    89941095   P6T-244     Muy Grave          474.00      0.00       500         0
2020/06/01    38862473   I4B-541     Grave              316.00      0.25       100         0
2020/06/04    25518120   E1J-798     Muy Grave            0.00      0.00      2000        12
2020/06/04    88167677   B4C-100     Grave              316.00      0.25       100         0
2020/06/05    54665716   D2V-055     Grave              316.00      0.25       100         0
2020/06/05    29833157   S2N-896     Grave              316.00      0.25       200         0
2020/06/05    27185429   U3F-754     Grave              316.00      0.25       100         0
2020/06/06    73818744   U5N-536     Muy Grave          474.00      0.00       500         0
2020/06/06    53853385   T9X-217     Grave              316.00      0.25       100         0
2020/06/08    28820944   H2K-127     Grave              316.00      0.25       100         0
2020/06/08    37080813   P7E-145     Muy Grave          474.00      0.00       500         0
2020/06/09    26522329   U7R-252     Leve               158.00      0.50         0         0
2020/06/09    26522329   W7R-114     Grave              316.00      0.25       100         0
2020/06/09    54141214   Y9G-536     Grave              316.00      0.25       100         0
2020/06/10    88854166   H3E-885     Grave              316.00      0.25       100         0
2020/06/11    35912665   O4X-500     Muy Grave          474.00      0.00       500         0
2020/06/13    47528229   U0N-343     Grave              316.00      0.25       100         0
2020/06/13    27185429   S9I-160     Grave              316.00      0.25       100         0
2020/06/13    60784914   P4Y-758     Muy Grave          948.00      0.00       600         1
2020/06/13    16136330   E3U-231     Muy Grave          474.00      0.00       500         0
2020/06/14    66849703   B4N-777     Muy Grave          474.00      0.00       500         0
2020/06/15    34248357   R7N-062     Grave              316.00      0.25       100         0
2020/06/15    35912665   O2Z-308     Grave              316.00      0.25       100         0
2020/06/15    31107104   E0I-722     Grave              316.00      0.25       200         0
2020/06/15    19963454   H8A-390     Grave              316.00      0.25       200         0
2020/06/16    64178096   I0X-469     Muy Grave          711.00      0.00       600         1
2020/06/18    88167677   Y4Y-028     Muy Grave          474.00      0.00       500         0
2020/06/19    53853385   O5L-856     Grave              316.00      0.25       200         0
2020/06/19    84186239   T6W-978     Muy Grave          474.00      0.00       500         0
2020/06/19    81528434   D6F-465     Leve               158.00      0.50         0         0
2020/06/19    88854166   L3N-150     Grave              316.00      0.25       100         0
2020/06/20    13219606   M2Q-712     Muy Grave          474.00      0.00       500         0
2020/06/20    54447051   G3Y-654     Muy Grave          474.00      0.00       500         0
2020/06/20    89314225   C3A-423     Grave              316.00      0.25       100         0
2020/06/21    15559308   X6O-905     Grave              316.00      0.25       100         0
2020/06/22    80310768   O2F-523     Muy Grave          474.00      0.00       500         0
2020/06/22    69252518   P7I-760     Grave              316.00      0.25       100         0
2020/06/22    54141214   J7Y-327     Leve               158.00      0.50         0         0
2020/06/23    71578206   Y9F-491     Muy Grave          474.00      0.00       500         0
2020/06/23    90467829   H1R-953     Grave              316.00      0.25       100         0
2020/06/24    70414420   U5T-348     Muy Grave         3950.00      0.00      1000         6
2020/06/24    53374153   V7L-069     Grave              316.00      0.25       100         0
2020/06/24    77763722   A1Q-612     Muy Grave          474.00      0.00       500         0
2020/06/25    50200823   H1E-399     Grave              316.00      0.25       100         0
2020/06/25    54447051   D5W-773     Grave              316.00      0.25       100         0
2020/06/26    44188994   M0X-657     Grave              316.00      0.25       100         0
2020/06/26    19963454   X9O-440     Grave              316.00      0.25       200         0
2020/06/28    79672079   Y3Q-331     Muy Grave          474.00      0.00       500         0
2020/06/28    50201756   X8O-807     Grave              316.00      0.25       100         0
2020/06/29    81799482   V7P-711     Muy Grave            0.00      0.00      2000        12
2020/06/29    30046639   P6I-223     Grave              316.00      0.25       100         0
2020/06/29    97849227   I0K-077     Grave              316.00      0.25       200         0
2020/06/30    97849227   I0K-077     Muy Grave          474.00      0.00       500         0
2020/06/30    69252518   Y0Y-415     Grave              316.00      0.25       100         0
2020/07/01    88167677   Y4Y-028     Muy Grave          474.00      0.00       500         0
2020/07/02    34248357   H4R-733     Grave              316.00      0.25       100         0
2020/07/02    88167677   B4C-100     Muy Grave          474.00      0.00       500         0
2020/07/04    64532449   J0V-437     Grave              316.00      0.25       100         0
2020/07/04    58992942   V7O-315     Grave              316.00      0.25       100         0
2020/07/05    86429854   M5U-987     Grave              316.00      0.25       100         0
2020/07/07    32244565   J1E-736     Muy Grave          474.00      0.00       500         0
2020/07/07    82870470   K0H-387     Grave              316.00      0.25       100         0
2020/07/07    34976629   J8B-303     Muy Grave          474.00      0.00       500         0
2020/07/07    39544560   Y0K-784     Muy Grave          474.00      0.00       500         0
2020/07/08    49927087   G7B-252     Grave              316.00      0.25       100         0
2020/07/09    54141214   J7Y-327     Muy Grave          474.00      0.00       500         0
2020/07/10    16925690   B4I-014     Grave              316.00      0.25       100         0
2020/07/10    71578206   G7Z-721     Grave              316.00      0.25       100         0
2020/07/10    36079131   V4S-057     Muy Grave          474.00      0.00       500         0
2020/07/10    15029228   C0P-895     Grave              316.00      0.25       100         0
2020/07/11    73567806   A7Y-833     Muy Grave          474.00      0.00       500         0
2020/07/11    99950484   X0R-946     Muy Grave          474.00      0.00       500         0
2020/07/13    77367073   W4W-684     Grave              316.00      0.25       100         0
2020/07/14    25518120   E1J-798     Grave              316.00      0.25       100         0
2020/07/14    16136330   E3U-231     Grave              316.00      0.25       100         0
2020/07/14    79766395   N6D-256     Grave              316.00      0.25       100         0
2020/07/14    97849227   I0K-077     Muy Grave         5925.00      0.00      2000         6
2020/07/14    32244565   M8W-853     Grave              316.00      0.25       100         0
2020/07/14    30046639   L8F-459     Muy Grave          474.00      0.00       500         0
2020/07/15    39244942   N5Y-450     Grave              316.00      0.25       200         0
2020/07/15    49927087   X3E-271     Grave              316.00      0.25       100         0
2020/07/15    35912665   A6E-125     Grave              316.00      0.25       100         0
2020/07/16    27864822   R5C-239     Leve               158.00      0.50         0         0
2020/07/17    90467829   K4H-445     Muy Grave          474.00      0.00       500         0
2020/07/18    77367073   C2S-070     Muy Grave         1975.00      0.00       600         1
2020/07/19    45043076   I1D-713     Grave              316.00      0.25       100         0
2020/07/19    39544560   Y0K-784     Muy Grave         5925.00      0.00      2000         6
2020/07/20    48528209   T9L-709     Muy Grave         5925.00      0.00      2000         6
2020/07/20    13219606   M2Q-712     Muy Grave          474.00      0.00       500         0
2020/07/21    32244565   J1E-736     Grave              316.00      0.25       200         0
2020/07/22    16925690   R7N-113     Grave              316.00      0.25       100         0
2020/07/22    34248357   H4R-733     Muy Grave          474.00      0.00       500         0
2020/07/23    73567806   W9Z-281     Muy Grave          474.00      0.00       500         0
2020/07/23    89941095   R8O-904     Grave              316.00      0.25       100         0
2020/07/24    43454884   P6Z-734     Grave              316.00      0.25       100         0
2020/07/24    66849703   J2F-853     Grave              316.00      0.25       200         0
2020/07/24    96693273   F3R-138     Grave              316.00      0.25       100         0
2020/07/25    70414420   U5T-348     Muy Grave          474.00      0.00       500         0
2020/07/25    60335381   E6T-667     Grave              316.00      0.25       100         0
2020/07/26    99950484   Y6I-680     Grave              316.00      0.25       100         0
2020/07/26    35297848   O7D-970     Grave              316.00      0.25       100         0
2020/07/27    29989682   W3T-571     Muy Grave          474.00      0.00       500         0
2020/07/28    99950484   Y9W-731     Grave              316.00      0.25       100         0
2020/07/28    58992942   V7O-315     Muy Grave          474.00      0.00       500         0
2020/07/29    16477908   W7C-957     Grave              316.00      0.25       100         0
2020/07/29    53853385   O5L-856     Grave              316.00      0.25       100         0
2020/08/01    32090869   L4B-291     Grave              316.00      0.25       100         0
2020/08/02    71578206   Y9F-491     Muy Grave            0.00      0.00      2000        12
2020/08/02    27864822   R5C-239     Grave              316.00      0.25       100         0
2020/08/02    32244565   J1E-736     Grave              316.00      0.25       100         0
2020/08/03    75348522   P5B-640     Grave              316.00      0.25       100         0
2020/08/03    71578206   G7Z-721     Grave              316.00      0.25       100         0
2020/08/03    32090869   L4B-291     Grave              316.00      0.25       100         0
2020/08/03    47844324   F1H-328     Grave              316.00      0.25       100         0
2020/08/03    64532449   V4I-691     Muy Grave         3950.00      0.00       100         6
2020/08/04    44188994   R2L-600     Muy Grave         3950.00      0.00       100         6
2020/08/05    45043076   S7E-946     Grave              316.00      0.25       100         0
2020/08/06    43454884   P6Z-734     Muy Grave          474.00      0.00       500         0
2020/08/06    68310808   I3A-223     Muy Grave            0.00      0.00      2000        12
2020/08/07    58992942   H8M-598     Leve               158.00      0.50         0         0
